사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202506,1호선,동대문,575,17,11259,1969,9299,7110,15607,12323,21635,19678,21319,22064,19129,25026,20255,28225,23988,26928,26118,25575,28197,24262,28180,23442,28497,22956,26927,22782,23966,22330,18091,21598,16795,16227,15038,14989,11277,14858,5887,9784,820,2982,0,236,0,0,0,0,20250703
202506,1호선,동묘앞,181,3,2690,925,3817,5502,8686,11267,13321,22446,12449,19629,14634,25320,20146,32284,26928,32663,33321,35208,33986,29758,33934,26263,34080,20690,30848,15644,22978,13310,12237,9607,6908,6486,5407,6857,3695,6654,1372,4739,115,1872,1,261,0,0,0,0,20250703
202506,1호선,서울역,730,49,10751,10048,29185,60086,90184,123995,143724,234753,112732,163546,98328,99749,111536,95531,124637,104979,116558,103202,102665,96408,131219,108870,145385,118187,212902,139954,237451,163001,136168,110572,100704,82475,105192,77520,69756,56423,39255,29968,4636,7575,5,178,0,0,0,0,20250703
202506,1호선,시청,96,0,1803,5796,3972,26490,7355,74815,9980,193956,12772,86440,14779,46870,20100,44382,24020,39782,31341,38223,38912,31253,49166,26098,61391,25991,92565,26960,150960,25143,59642,15048,54581,10069,51883,8300,31264,5799,10279,3737,538,983,0,12,0,0,0,0,20250703
202506,1호선,신설동,436,21,9189,2288,10160,8978,21468,25241,31531,50905,22073,31406,20427,20968,21678,19142,23384,18816,24290,20245,23345,19518,24989,21037,30139,22681,40517,25232,49419,30099,20152,22145,14346,16424,12852,16278,8431,14393,3652,9485,371,2857,0,0,0,0,0,0,20250703
202506,1호선,제기동,332,2,5240,2403,9257,11022,21162,21206,30622,37345,23261,32987,26093,37180,32167,43797,36058,45130,37961,43892,41874,42220,44278,34086,44683,33127,42428,28171,37176,26328,20578,17457,13932,11891,8955,11290,5591,9309,2153,6041,187,1335,0,0,0,0,0,0,20250703
202506,1호선,종각,134,6,3971,5953,4185,38295,6514,113759,10169,250469,12827,133513,18401,58743,27708,58687,33287,51902,42704,50364,53209,42213,66853,37604,84191,40534,150038,45268,202433,45383,90380,22632,81480,12841,81761,9425,57655,7068,24537,4305,1784,1206,0,4,0,0,0,0,20250703
202506,1호선,종로3가,194,6,4041,3283,4427,13971,6348,27656,10305,63774,14708,60722,21364,54677,31417,65554,43635,63211,47441,57222,56502,49602,64623,43979,71173,42120,83400,40572,88106,37889,55006,20028,48808,12705,51827,9975,38852,7778,17354,5260,1691,2155,0,45,0,0,0,0,20250703
202506,1호선,종로5가,53,2,2119,4035,3220,16855,6013,40913,10352,83557,15387,60916,25445,57864,36091,61294,43974,55674,52677,51310,60610,46619,62160,40417,66808,38120,83762,34211,83154,29628,44015,17010,33123,10209,29726,7391,18180,5625,5180,3577,341,931,0,0,0,0,0,0,20250703
202506,1호선,청량리(서울시립대입구),1193,19,10610,2964,18162,11266,47518,17751,55262,38402,36971,39070,34868,42257,40287,47646,45333,47124,47616,48313,49254,48985,51849,47728,54091,49128,52080,51595,44582,57705,26923,37330,21170,23781,16214,22900,10430,19480,4108,11824,334,3604,0,0,0,0,0,0,20250703
