HOUSE_TYPE,CNTRCT_YM,CNTCT_DE,TRNS_CLSF,TRAMT,ASSRNC_AMT,MTHT_AMT,NRB_SWST_NM,NRB_SWST_DIST
연립다세대,202503,19,매매,57000,0,0,경복궁(정부서울청사),483
연립다세대,202503,1,매매,62800,0,0,경복궁(정부서울청사),492
연립다세대,202503,18,전세,0,64000,0,경복궁(정부서울청사),296
아파트,202503,25,매매,89000,0,0,경복궁(정부서울청사),289
아파트,202503,31,전세,0,97000,0,경복궁(정부서울청사),177
오피스텔,202503,5,월세,0,2000,70,경복궁(정부서울청사),225
아파트,202503,18,매매,199000,0,0,경복궁(정부서울청사),236
아파트,202503,8,매매,205000,0,0,경복궁(정부서울청사),236
오피스텔,202503,14,매매,38800,0,0,경복궁(정부서울청사),236
오피스텔,202503,12,매매,41000,0,0,경복궁(정부서울청사),236
오피스텔,202503,5,매매,40500,0,0,경복궁(정부서울청사),236
아파트,202503,15,전세,0,105000,0,경복궁(정부서울청사),236
아파트,202503,15,월세,0,20000,320,경복궁(정부서울청사),236
아파트,202503,8,월세,0,75000,200,경복궁(정부서울청사),236
아파트,202503,5,전세,0,115000,0,경복궁(정부서울청사),236
오피스텔,202503,24,전세,0,30400,0,경복궁(정부서울청사),236
아파트,202503,4,월세,0,60000,310,경복궁(정부서울청사),451
아파트,202503,14,매매,100000,0,0,광화문,165
아파트,202503,28,월세,0,0,100,광화문,165
아파트,202503,10,월세,0,5000,50,광화문,165
오피스텔,202503,7,월세,0,1000,90,경복궁(정부서울청사),193
오피스텔,202503,19,전세,0,25000,0,경복궁(정부서울청사),193
오피스텔,202503,12,월세,0,1050,94,경복궁(정부서울청사),193
오피스텔,202503,12,월세,0,1000,94,경복궁(정부서울청사),193
오피스텔,202503,4,월세,0,23000,20,경복궁(정부서울청사),193
아파트,202503,25,매매,230000,0,0,광화문,282
아파트,202503,17,매매,215000,0,0,광화문,282
오피스텔,202503,21,월세,0,2000,170,광화문,282
오피스텔,202503,1,매매,33000,0,0,경복궁(정부서울청사),190
오피스텔,202503,29,월세,0,10000,59,경복궁(정부서울청사),190
오피스텔,202503,8,전세,0,25000,0,경복궁(정부서울청사),190
오피스텔,202503,15,매매,34500,0,0,경복궁(정부서울청사),224
오피스텔,202503,27,월세,0,20000,30,경복궁(정부서울청사),224
오피스텔,202503,25,월세,0,15000,40,경복궁(정부서울청사),224
오피스텔,202503,13,월세,0,2000,88,경복궁(정부서울청사),224
아파트,202503,14,매매,132200,0,0,경복궁(정부서울청사),310
오피스텔,202503,21,매매,49500,0,0,광화문,96
오피스텔,202503,17,매매,48000,0,0,광화문,96
연립다세대,202503,14,월세,0,5000,320,경복궁(정부서울청사),424
오피스텔,202503,12,매매,290000,0,0,광화문,368
아파트,202503,6,월세,0,10000,1000,광화문,368
오피스텔,202503,24,월세,0,30000,135,광화문,368
오피스텔,202503,17,월세,0,10000,225,광화문,368
아파트,202503,7,매매,45000,0,0,안국,314
아파트,202503,14,월세,0,4000,330,안국,314
오피스텔,202503,11,매매,72000,0,0,광화문,167
오피스텔,202503,5,매매,89500,0,0,광화문,167
오피스텔,202503,11,월세,0,7000,65,광화문,167
오피스텔,202503,5,월세,0,2000,140,광화문,167
아파트,202503,22,월세,0,2000,200,종로3가,260
오피스텔,202503,31,매매,12400,0,0,종로3가,170
아파트,202503,25,월세,0,10000,55,종로3가,229
오피스텔,202503,8,월세,0,20000,20,안국,8
오피스텔,202503,1,매매,17500,0,0,종각,141
아파트,202503,1,월세,0,5000,190,종로3가,120
연립다세대,202503,28,월세,0,15000,53,안국,129
연립다세대,202503,20,전세,0,22000,0,안국,474
오피스텔,202503,1,매매,22000,0,0,종로3가,215
연립다세대,202503,31,매매,24500,0,0,종로3가,147
연립다세대,202503,12,전세,0,23000,0,종로3가,147
아파트,202503,15,매매,98000,0,0,종로5가,122
아파트,202503,31,전세,0,48000,0,종로5가,122
아파트,202503,22,월세,0,10000,220,종로5가,122
아파트,202503,20,월세,0,30000,100,종로5가,122
아파트,202503,14,월세,0,30000,190,종로5가,122
오피스텔,202503,5,전세,0,32000,0,종로5가,122
오피스텔,202503,6,월세,0,1000,100,종로5가,474
아파트,202503,17,매매,17000,0,0,종로5가,317
오피스텔,202503,18,월세,0,60,35,종로5가,229
오피스텔,202503,18,월세,0,60,44,종로5가,245
오피스텔,202503,18,월세,0,60,35,종로5가,245
오피스텔,202503,18,월세,0,60,40,종로5가,245
오피스텔,202503,26,월세,0,20000,40,종로5가,170
오피스텔,202503,17,매매,17500,0,0,종로5가,407
오피스텔,202503,11,매매,16400,0,0,종로5가,407
오피스텔,202503,11,월세,0,1000,70,종로5가,407
오피스텔,202503,7,월세,0,1000,70,종로5가,407
아파트,202503,22,월세,0,1000,90,종로5가,346
아파트,202503,27,월세,0,27500,15,종로5가,291
아파트,202503,19,월세,0,1000,120,종로5가,291
아파트,202503,15,월세,0,27500,20,종로5가,291
아파트,202503,10,월세,0,1000,140,종로5가,291
아파트,202503,3,월세,0,1000,120,종로5가,291
오피스텔,202503,15,월세,0,1000,70,종로5가,201
오피스텔,202503,25,월세,0,1000,105,종로5가,119
오피스텔,202503,20,매매,28900,0,0,종로5가,0
오피스텔,202503,24,전세,0,22818,0,종로5가,0
오피스텔,202503,7,월세,0,2000,106,종로5가,0
연립다세대,202503,5,월세,0,1000,55,혜화,455
연립다세대,202503,31,월세,0,5000,100,혜화,155
연립다세대,202503,1,월세,0,3000,58,혜화,145
연립다세대,202503,8,월세,0,4000,135,혜화,157
연립다세대,202503,21,월세,0,4000,70,혜화,185
연립다세대,202503,21,월세,0,5500,21,혜화,193
연립다세대,202503,28,월세,0,5000,24,혜화,230
연립다세대,202503,7,전세,0,10000,0,혜화,252
연립다세대,202503,12,월세,0,10000,25,혜화,261
연립다세대,202503,12,월세,0,10000,25,혜화,261
연립다세대,202503,19,전세,0,11000,0,혜화,258
연립다세대,202503,22,월세,0,2000,75,혜화,254
아파트,202503,19,전세,0,65100,0,종로5가,459
아파트,202503,8,전세,0,68250,0,종로5가,459
아파트,202503,6,전세,0,66000,0,종로5가,459
연립다세대,202503,6,월세,0,7500,20,혜화,387
연립다세대,202503,14,월세,0,1000,130,혜화,389
연립다세대,202503,22,전세,0,15000,0,혜화,365
연립다세대,202503,21,월세,0,10500,25,혜화,232
연립다세대,202503,29,월세,0,1500,60,혜화,252
연립다세대,202503,13,월세,0,11600,30,혜화,362
연립다세대,202503,19,월세,0,5000,95,혜화,325
연립다세대,202503,8,월세,0,30000,20,한성대입구(삼선교),326
연립다세대,202503,28,전세,0,35000,0,한성대입구(삼선교),283
연립다세대,202503,3,월세,0,300,60,혜화,213
아파트,202503,24,전세,0,68200,0,혜화,283
아파트,202503,22,월세,0,10000,250,혜화,283
아파트,202503,14,월세,0,40000,95,혜화,283
아파트,202503,4,전세,0,72000,0,혜화,283
연립다세대,202503,20,월세,0,2000,60,혜화,296
연립다세대,202503,12,매매,46500,0,0,혜화,384
연립다세대,202503,25,월세,0,5000,180,혜화,283
연립다세대,202503,24,월세,0,5000,180,혜화,283
연립다세대,202503,10,월세,0,5000,180,혜화,283
아파트,202503,5,매매,94000,0,0,혜화,447
아파트,202503,29,매매,65700,0,0,혜화,293
아파트,202503,28,월세,0,10000,130,혜화,293
아파트,202503,14,월세,0,35000,45,혜화,293
연립다세대,202503,5,월세,0,1000,80,혜화,55
연립다세대,202503,5,매매,48500,0,0,혜화,40
연립다세대,202503,8,전세,0,32000,0,혜화,233
연립다세대,202503,8,전세,0,32000,0,혜화,233
연립다세대,202503,14,월세,0,17000,25,혜화,253
아파트,202503,27,월세,0,45000,50,창신,193
아파트,202503,27,전세,0,57000,0,창신,193
연립다세대,202503,15,전세,0,13000,0,창신,316
연립다세대,202503,14,매매,40010,0,0,창신,468
연립다세대,202503,25,매매,57000,0,0,동묘앞,175
