사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202509,1호선,동대문,535,13,12099,1984,9918,7427,17438,12154,24011,20554,22384,22572,19350,23086,19941,25520,22751,23849,24527,24654,26088,23321,26787,23447,28408,23378,27780,23950,25027,24785,19397,23660,16862,16839,14765,15837,11790,15247,5832,10017,978,3111,5,349,0,0,0,0,20251003
202509,1호선,동묘앞,202,4,2934,890,4096,5669,9623,11460,15217,24533,12422,17090,13713,21522,17598,28112,23766,29302,30243,34755,30790,29100,32564,25121,33498,19892,31318,15389,21737,13692,11011,9773,6386,6693,5346,7211,3749,6944,1285,4829,171,2095,0,289,0,0,0,0,20251003
202509,1호선,서울역,753,35,11376,10334,32529,62503,105429,134137,169793,262118,120800,179302,105419,104372,108975,95923,122220,104996,116266,103708,106080,97255,122816,112530,151041,126188,236554,154646,261505,183403,142252,122023,104218,86720,103751,83200,69927,60274,33814,29456,4658,7703,13,173,0,0,0,0,20251003
202509,1호선,시청,78,5,1832,6166,4039,35164,7843,91024,11334,224375,15339,99634,19629,51420,24469,46852,26091,41354,33854,43245,41980,35146,57658,30051,71569,27874,108827,30678,175786,26837,68116,13900,60945,9744,52377,8756,32788,6304,10419,3512,651,991,1,29,0,0,0,0,20251003
202509,1호선,신설동,454,10,9125,2340,10625,9290,24255,27377,35323,58887,23836,34383,20714,21277,21868,19374,23324,18977,24807,20780,23658,19058,25928,21632,31661,23076,44246,27384,53907,33389,21114,23993,15699,16994,13334,16523,8764,14710,3794,9200,478,2787,0,0,0,0,0,0,20251003
202509,1호선,제기동,343,3,5283,2646,9704,10050,24278,23449,33570,41565,24816,34880,27156,41252,35418,46175,39026,45497,40736,47002,43611,43389,46815,37724,45846,35422,44810,28491,38556,27940,21473,18588,13653,12522,8499,11629,5357,9881,2135,6039,151,1529,0,0,0,0,0,0,20251003
202509,1호선,종각,111,5,3898,6419,4435,39583,7420,129864,11794,290190,14833,149681,20927,64031,30532,60962,35830,54000,44703,54017,57265,45034,70305,40421,89716,43893,170309,51269,236309,52634,101004,26314,88715,14340,86935,10647,61776,7641,25817,4454,2171,1324,1,2,0,0,0,0,20251003
202509,1호선,종로3가,227,11,4314,3807,4605,14452,7348,28980,11628,69136,16332,65326,22753,56456,33609,65795,45443,62557,47635,56849,57978,51045,64685,44169,73449,43731,88315,41904,94801,40102,57121,20914,48088,12457,48778,10675,37906,8452,16860,5128,1752,2332,4,22,0,0,0,0,20251003
202509,1호선,종로5가,73,1,1995,4823,3307,18539,6866,45382,11805,96790,17027,67243,27930,60472,39242,61820,45723,55249,52388,52252,61195,50528,64474,42297,71196,41029,93320,37016,94743,33543,50403,20437,35009,11985,29995,8511,19250,6784,5815,4282,394,1143,0,4,0,0,0,0,20251003
202509,1호선,청량리(서울시립대입구),1216,46,11608,3196,20284,12039,54063,19907,62719,42923,38812,43584,35930,45251,41770,52388,48027,52874,49971,54606,52772,52803,58036,51434,61991,52444,58381,55056,50149,64625,28844,41081,21734,25416,17272,24015,10533,21065,4630,12224,332,4135,0,0,0,1,0,0,20251003
202509,2호선,강남,129,9,8007,12131,17685,57947,43173,169200,67143,346408,57876,346621,57534,160638,73408,106286,90497,100988,104727,116229,116896,104682,142088,99456,173342,109794,272608,146480,343023,185493,228327,105980,173750,60751,184014,50673,157834,39923,69262,22181,11674,6420,6,26,0,0,0,0,20251003
202509,2호선,강변(동서울터미널),45,1,9161,1945,23656,22079,70680,23422,104751,40950,76519,34163,59973,31549,50313,31737,46848,35210,43210,39886,40553,42925,44558,51080,48003,55413,54632,70748,57651,94093,37898,64227,29638,46400,24148,37456,15799,32195,5788,16531,876,4517,0,101,0,0,0,0,20251003
202509,2호선,건대입구,333,18,14655,1690,23621,15867,59485,26125,101746,67234,67525,52125,43677,50175,40169,48748,47617,55144,51490,60042,54617,59432,60667,65285,71277,78810,83422,106911,93294,157101,71459,108732,72897,68911,77462,63772,71502,56714,40833,33492,7012,11703,12,982,0,0,0,0,20251003
202509,2호선,교대(법원.검찰청),20,0,2506,6590,11471,29177,27316,62291,39007,170520,31805,137271,28933,73380,34420,62426,35675,56875,45160,60580,52643,51954,56991,49488,62496,51344,105478,67648,142095,74205,64742,41869,54329,27741,51449,23981,38635,22226,15151,11652,3058,3634,1,19,0,0,0,0,20251003
202509,2호선,구로디지털단지,540,15,39944,4728,56218,21123,148433,89180,194204,231866,118577,147407,70728,62536,63018,46678,71553,52616,67562,66308,62477,61171,71538,68959,87378,83410,142663,113357,208982,168925,102635,132598,63225,88911,50913,87105,39518,81743,18262,47932,3549,14315,4,343,0,0,0,0,20251003
202509,2호선,구의(광진구청),75,2,14448,1374,31140,12759,84635,19889,132688,49966,79394,28683,44254,26255,35244,27675,37484,30422,37842,33358,36713,35146,38212,43955,42454,49920,45159,71947,55395,113974,30849,80697,24426,54218,23279,49099,18564,44911,8925,24659,1501,7961,3,117,0,0,0,0,20251003
202509,2호선,낙성대(강감찬),50,4,12733,2651,29343,9995,92037,21616,135216,46375,85546,38360,47307,30461,38495,26168,42235,29482,40713,31686,36611,32853,38981,39192,41859,47222,49417,65369,56306,107064,31844,88911,25619,59343,22714,56467,17198,55606,8886,33481,1706,9690,5,190,0,0,0,0,20251003
202509,2호선,당산,67,11,8637,4195,20643,16811,50924,32122,63720,81501,37826,34778,27026,17225,24775,16864,25054,20016,23876,22845,21407,22671,23736,27837,30727,36522,45142,54253,60999,81255,28635,53833,23600,36481,22235,34688,17984,31734,8895,19066,1525,5579,7,144,0,0,0,0,20251003
202509,2호선,대림(구로구청),865,12,35203,3301,31455,11057,72686,24917,98650,57367,64934,35415,40302,33175,34990,34533,37189,33780,35457,33090,32981,34479,35421,42651,38421,50204,44785,63458,51157,71223,26134,53243,18602,41615,13774,50394,10472,46975,5176,22661,889,5469,3,284,0,0,0,0,20251003
